id,soc.t.ha,thickness.dm,x,y
P 035006,163.8051572,12.5,3214308.702,706632.778
P 035007,445.9606878,13.2,3226902.51,742053.7589
P 035008,135.6090848,12.5,3229026.247,752092.2809
P 035009,106.8077619,6.2,3214303.585,723756.2763
P 035010,205.0659646,12.5,3195775.144,713860.5413
P 035011,222.4407446,12.5,3201862.69,739591.1422
P 035012,232.0938148,12.5,3203371.031,759320.5905
P 035013,604.0505722,12.5,3208646.658,752047.5202
P 035014,29.64355657,1.6,3184574.015,695024.4489
P 035015,86.66352843,2.2,3156886.953,693426.3449
P 035016,119.5468512,12.5,3152162.929,683684.7343
P 035017,43.03979283,1.6,3141893.921,683384.9964
P 035018,53.74837084,2.3,3137657.372,694650.1815
P 035019,137.3678281,12.5,3138814.228,704201.2846
P 035020,195.705673,13,3153493.697,720252.1417
P 035021,122.7849012,12.5,3145730.614,727082.2453
P 035022,11.20803629,1.6,3167805.243,763556.9415
P 035023,55.73389047,12.5,3131889.75,785729.0899
P 035024,170.4892161,12.5,3136354.24,759425.3926
P 035025,129.7423955,8.5,3142896.959,754953.9722
P 035026,70.96143717,12.5,3205239.867,697104.8157
